  UID   PID TTY           TIME CMD
    0     1 ??         0:26.77 /sbin/launchd
    0   135 ??         0:02.75 /usr/sbin/syslogd
    0   136 ??         0:02.01 /usr/libexec/UserEventAgent (System)
    0   139 ??         0:00.25 /System/Library/PrivateFrameworks/Uninstall.framework/Resources/uninstalld
    0   140 ??         0:07.56 /usr/libexec/kextd
    0   141 ??         0:11.16 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
    0   143 ??         0:01.14 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
    0   146 ??         0:05.13 /usr/sbin/systemstats --daemon
    0   147 ??         0:21.54 /usr/libexec/configd
    0   148 ??         0:53.79 /Library/Application Support/TrendMicro/TmccMac/iCoreService -p 61201 -n 61100 /Library/Application Support/TrendMicro/common/lib/libTmProxy.dylib
    0   149 ??         0:12.79 /Library/Application Support/TrendMicro/TmccMac/iCoreService -p 61100 -n 61100 /Library/Application Support/TrendMicro/common/lib/libnamingService.dylib /Library/Application Support/TrendMicro/common/lib/libtaskManager.dylib /Library/Application Support/TrendMicro/common/lib/libnotificationService.dylib /Library/Application Support/TrendMicro/common/lib/libTmUpdate.dylib /Library/Application Support/TrendMicro/common/lib/libTmDb.dylib
    0   150 ??         0:00.02 endpointsecurityd
    0   151 ??         0:04.93 /System/Library/CoreServices/powerd.bundle/powerd
    0   153 ??         0:10.85 /Library/Application Support/TrendMicro/TmccMac/iCoreService -p 61401 -n 61100 /Library/Application Support/TrendMicro/Plug-in/iTISPlugin.framework/iTISPlugin
    0   157 ??         0:10.22 /usr/libexec/logd
    0   158 ??         0:00.06 /usr/libexec/keybagd -t 15
    0   161 ??         0:00.45 /usr/libexec/watchdogd
    0   165 ??         0:21.03 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
  240   166 ??         0:00.11 /System/Library/CoreServices/iconservicesd
    0   167 ??         0:01.08 /usr/libexec/diskarbitrationd
    0   171 ??         0:02.75 /usr/libexec/coreduetd
    0   175 ??         0:08.80 /usr/libexec/opendirectoryd
    0   176 ??         0:02.70 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
    0   177 ??         0:00.04 /Library/PrivilegedHelperTools/com.docker.vmnetd
